date,country,content_type,platform,actor,minutes,revenue
2024-01,India,Music,Spotify,Arijit Singh,82000,95000
2024-01,India,Music,YouTube,Shreya Ghoshal,74000,72000
2024-01,India,Movies,Netflix,Shah Rukh Khan,91000,128000
2024-01,India,Movies,Amazon Prime,Alia Bhatt,76000,98000
2024-01,India,Series,Netflix,Pankaj Tripathi,84000,110000
2024-01,India,Series,Hotstar,Samantha Ruth Prabhu,79000,97000
2024-01,India,Anime,Netflix,Naruto VA,26000,25000
2024-01,India,Anime,Crunchyroll,One Piece VA,30000,29000
2024-01,India,Music,Spotify,AP Dhillon,73000,76000
2024-01,India,Series,Amazon Prime,Manoj Bajpayee,81000,105000

2024-01,USA,Music,Spotify,Taylor Swift,98000,180000
2024-01,USA,Music,Apple Music,Drake,92000,165000
2024-01,USA,Movies,Netflix,Leonardo DiCaprio,105000,220000
2024-01,USA,Movies,Amazon Prime,Tom Cruise,97000,200000
2024-01,USA,Series,HBO,Pedro Pascal,87000,160000
2024-01,USA,Series,Netflix,Millie Bobby Brown,82000,145000
2024-01,USA,Anime,Netflix,Attack Titan VA,36000,52000
2024-01,USA,Anime,Crunchyroll,Demon Slayer VA,33000,48000
2024-01,USA,Music,Spotify,Billie Eilish,88000,150000
2024-01,USA,Series,Amazon Prime,Jack Ryan Cast,79000,138000

2024-01,Japan,Anime,Crunchyroll,Yuki Kaji,120000,250000
2024-01,Japan,Anime,Netflix,Demon Slayer VA,110000,230000
2024-01,Japan,Music,Spotify,YOASOBI,74000,115000
2024-01,Japan,Music,YouTube,Ado,69000,98000
2024-01,Japan,Movies,Toho,Masaki Suda,61000,98000
2024-01,Japan,Movies,Netflix,Ken Watanabe,66000,105000
2024-01,Japan,Series,Netflix,Hiroshi Abe,56000,92000
2024-01,Japan,Series,Amazon Prime,Alice Cast,54000,89000
2024-01,Japan,Music,Spotify,LISA,72000,112000
2024-01,Japan,Series,TV Tokyo,Tokyo Ghoul Cast,50000,86000

2024-01,South Korea,Music,Spotify,BTS,110000,210000
2024-01,South Korea,Music,YouTube,BLACKPINK,105000,198000
2024-01,South Korea,Movies,CJ ENM,Song Kang-ho,67000,120000
2024-01,South Korea,Movies,Netflix,Ma Dong-seok,69000,125000
2024-01,South Korea,Series,Netflix,Kim Taehyung,98000,175000
2024-01,South Korea,Series,Netflix,Park Seo-joon,91000,162000
2024-01,South Korea,Anime,Netflix,Jujutsu VA,29000,41000
2024-01,South Korea,Anime,Crunchyroll,Naruto VA,27000,38000
2024-01,South Korea,Music,Spotify,IU,88000,155000
2024-01,South Korea,Series,TVN,Goblin Cast,86000,158000

2024-01,UK,Music,Spotify,Ed Sheeran,83000,150000
2024-01,UK,Music,Apple Music,Dua Lipa,79000,142000
2024-01,UK,Movies,Netflix,Benedict Cumberbatch,64000,125000
2024-01,UK,Movies,Amazon Prime,Henry Cavill,70000,132000
2024-01,UK,Series,Netflix,Millie Bobby Brown,72000,135000
2024-01,UK,Series,BBC,Peaky Blinders Cast,75000,140000
2024-01,UK,Anime,Crunchyroll,Demon Slayer VA,22000,37000
2024-01,UK,Anime,Netflix,One Piece VA,24000,39000
2024-01,UK,Music,Spotify,Sam Smith,76000,138000
2024-01,UK,Series,Amazon Prime,The Boys Cast,71000,130000

2024-01,France,Music,Spotify,Stromae,64000,112000
2024-01,France,Music,Apple Music,Angèle,61000,105000
2024-01,France,Movies,Netflix,Omar Sy,60000,99000
